file,type,val1,val2,pval
wrong_false_all_10,q_0_age_answer,50-80,36-50,0.02245651544529855
wrong_false_all_10,q_0_age_answer,50-80,26-35,0.09857429416816726
wrong_false_all_10,q_0_age_answer,50-80,19-25,0.1131471975166313
wrong_false_all_10,q_0_age_answer,36-50,26-35,1.0
wrong_false_all_10,q_0_age_answer,36-50,19-25,1.0
wrong_false_all_10,q_0_age_answer,26-35,19-25,1.0
correct_false_all_10,q_3_athletics_value,correct value,wrong value,0.017498330640355143
wrong_true_all_10,doc_index,10,9,0.3057939941772237
wrong_true_all_10,doc_index,10,8,0.8284409930490196
wrong_true_all_10,doc_index,10,7,1.0
wrong_true_all_10,doc_index,10,6,1.0
wrong_true_all_10,doc_index,10,5,1.0
wrong_true_all_10,doc_index,10,4,1.0
wrong_true_all_10,doc_index,10,3,1.0
wrong_true_all_10,doc_index,10,2,0.38407742313803267
wrong_true_all_10,doc_index,10,1,1.0
wrong_true_all_10,doc_index,10,0,1.0
wrong_true_all_10,doc_index,9,8,1.0
wrong_true_all_10,doc_index,9,7,1.0
wrong_true_all_10,doc_index,9,6,0.00035764843643452086
wrong_true_all_10,doc_index,9,5,0.004402675269050968
wrong_true_all_10,doc_index,9,4,0.40447640691319237
wrong_true_all_10,doc_index,9,3,0.6993597003535431
wrong_true_all_10,doc_index,9,2,1.0
wrong_true_all_10,doc_index,9,1,1.0
wrong_true_all_10,doc_index,9,0,0.718239672375092
wrong_true_all_10,doc_index,8,7,1.0
wrong_true_all_10,doc_index,8,6,0.0012723189962721567
wrong_true_all_10,doc_index,8,5,0.014590784447151279
wrong_true_all_10,doc_index,8,4,1.0
wrong_true_all_10,doc_index,8,3,1.0
wrong_true_all_10,doc_index,8,2,1.0
wrong_true_all_10,doc_index,8,1,1.0
wrong_true_all_10,doc_index,8,0,1.0
wrong_true_all_10,doc_index,7,6,1.0
wrong_true_all_10,doc_index,7,5,1.0
wrong_true_all_10,doc_index,7,4,1.0
wrong_true_all_10,doc_index,7,3,1.0
wrong_true_all_10,doc_index,7,2,1.0
wrong_true_all_10,doc_index,7,1,1.0
wrong_true_all_10,doc_index,7,0,1.0
wrong_true_all_10,doc_index,6,5,1.0
wrong_true_all_10,doc_index,6,4,1.0
wrong_true_all_10,doc_index,6,3,1.0
wrong_true_all_10,doc_index,6,2,0.0014209575668871757
wrong_true_all_10,doc_index,6,1,0.3123259936219604
wrong_true_all_10,doc_index,6,0,1.0
wrong_true_all_10,doc_index,5,4,1.0
wrong_true_all_10,doc_index,5,3,1.0
wrong_true_all_10,doc_index,5,2,0.010762790830780253
wrong_true_all_10,doc_index,5,1,1.0
wrong_true_all_10,doc_index,5,0,1.0
wrong_true_all_10,doc_index,4,3,1.0
wrong_true_all_10,doc_index,4,2,0.36567423042701397
wrong_true_all_10,doc_index,4,1,1.0
wrong_true_all_10,doc_index,4,0,1.0
wrong_true_all_10,doc_index,3,2,0.65506792298108
wrong_true_all_10,doc_index,3,1,1.0
wrong_true_all_10,doc_index,3,0,1.0
wrong_true_all_10,doc_index,2,1,1.0
wrong_true_all_10,doc_index,2,0,0.7120074799159104
wrong_true_all_10,doc_index,1,0,1.0
wrong_true_all_10,doc_name,REP,Liberal,1.02057670527699e-12
wrong_true_all_10,doc_name,REP,Labor,5.423367389559144e-13
wrong_true_all_10,doc_name,REP,DEM,1.9824746627899627e-08
wrong_true_all_10,doc_name,Liberal,Labor,1.0
wrong_true_all_10,doc_name,Liberal,DEM,0.3761316344260316
wrong_true_all_10,doc_name,Labor,DEM,0.3300377028510007
wrong_false_all_10,doc_name,REP,Liberal,0.004178813732769681
wrong_false_all_10,doc_name,REP,Labor,0.0024417121046697568
wrong_false_all_10,doc_name,REP,DEM,0.003224099426571149
wrong_false_all_10,doc_name,Liberal,Labor,1.0
wrong_false_all_10,doc_name,Liberal,DEM,1.0
wrong_false_all_10,doc_name,Labor,DEM,1.0
correct_true_all_10,doc_name,REP,Liberal,1.3936124429406092e-08
correct_true_all_10,doc_name,REP,Labor,1.6444105035435784e-05
correct_true_all_10,doc_name,REP,DEM,6.06990662747692e-15
correct_true_all_10,doc_name,Liberal,Labor,0.5183700302784012
correct_true_all_10,doc_name,Liberal,DEM,0.04831108192854285
correct_true_all_10,doc_name,Labor,DEM,9.226838063894384e-05
wrong_true_all_10,doc_claimant,Scott Walker,Ron Desantis,
wrong_true_all_10,doc_claimant,Scott Walker,Kevin Rudd,0.0026069222998946406
wrong_true_all_10,doc_claimant,Scott Walker,Josh Mandel,
wrong_true_all_10,doc_claimant,Scott Walker,Joe Hockey,
wrong_true_all_10,doc_claimant,Scott Walker,Jason Isaac,
wrong_true_all_10,doc_claimant,Scott Walker,Eric Cantor,
wrong_true_all_10,doc_claimant,Scott Walker,Dean Cannon,
wrong_true_all_10,doc_claimant,Scott Walker,Blue Oregon,
wrong_true_all_10,doc_claimant,Scott Walker,Barack Obama,0.0602285451895782
wrong_true_all_10,doc_claimant,Scott Walker,Tony Abbott,5.866542041677694e-08
wrong_true_all_10,doc_claimant,Scott Walker,Chris Bowen,5.866542041677694e-08
wrong_true_all_10,doc_claimant,Scott Walker,Barry O'Farrell,0.0017889139955711841
wrong_true_all_10,doc_claimant,Scott Walker,Yvette Mcgee Brown,0.0017889139955711841
