dimension,type,pval_res,pval_bonf,significant_005,significant_bonf
current_try,correct_false_all,0.6034750961171595,0.0125,no,no
current_try,correct_true_all,0.650288679825489,0.0125,no,no
current_try,wrong_false_all,0.12469506054243895,0.0125,no,no
current_try,wrong_true_all,0.6034750961171595,0.0125,no,no
q_0_age_answer,correct_false_all,0.24459637749802976,0.0125,no,no
q_0_age_answer,correct_true_all,0.9962898829173396,0.0125,no,no
q_0_age_answer,wrong_false_all,0.24311978847473278,0.0125,no,no
q_0_age_answer,wrong_true_all,4.1090184424393757e-07,0.0125,yes,yes
q_0_school_answer,correct_false_all,0.026343234952840012,0.0125,yes,no
q_0_school_answer,correct_true_all,0.5017111719031523,0.0125,no,no
q_0_school_answer,wrong_false_all,0.23294578724173048,0.0125,no,no
q_0_school_answer,wrong_true_all,3.534738898817729e-05,0.0125,yes,yes
q_0_taxes_answer,correct_false_all,0.009621733811448931,0.0125,yes,yes
q_0_taxes_answer,correct_true_all,0.963818510025765,0.0125,no,no
q_0_taxes_answer,wrong_false_all,0.46842522046471524,0.0125,no,no
q_0_taxes_answer,wrong_true_all,1.242445327984331e-09,0.0125,yes,yes
q_0_political_views_answer,correct_false_all,0.00014651924081006054,0.0125,yes,yes
q_0_political_views_answer,correct_true_all,0.06972888649262021,0.0125,no,no
q_0_political_views_answer,wrong_false_all,0.05553626662792849,0.0125,no,no
q_0_political_views_answer,wrong_true_all,0.0066563913910187705,0.0125,yes,yes
q_0_consideration_answer,correct_false_all,0.03911147673226447,0.0125,yes,no
q_0_consideration_answer,correct_true_all,0.9898775387261213,0.0125,no,no
q_0_consideration_answer,wrong_false_all,0.044567741522743766,0.0125,yes,no
q_0_consideration_answer,wrong_true_all,0.0006676605363452878,0.0125,yes,yes
q_0_southern_border_answer,correct_false_all,4.203916727554495e-06,0.0125,yes,yes
q_0_southern_border_answer,correct_true_all,0.4244204412720062,0.0125,no,no
q_0_southern_border_answer,wrong_false_all,0.2246485917604009,0.0125,no,no
q_0_southern_border_answer,wrong_true_all,0.007591334118645301,0.0125,yes,yes
q_0_environment_answer,correct_false_all,0.7880364082141977,0.0125,no,no
q_0_environment_answer,correct_true_all,0.148363393614504,0.0125,no,no
q_0_environment_answer,wrong_false_all,0.3824388783845543,0.0125,no,no
q_0_environment_answer,wrong_true_all,2.2782858195483326e-05,0.0125,yes,yes
q_1_farmers_value,correct_false_all,0.0005512212892493049,0.0125,yes,yes
q_1_farmers_value,correct_true_all,0.44175632742491944,0.0125,no,no
