type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_name,doc_date,doc_source,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,url_speaksabout,fre,doc_time_elapsed,query_amount,response_position,selected_amount,sim_statem_query,sim_statem_resname,sim_statem_ressnip
correct_false_all,Anthony Albanese says the rules on MP entitlements are pretty clear,1.0,19-25 (0.00),Some college (etc.) (1.00),"10,000 to less than 20,000 (1.00)",Liberal (3.00),Democrat (1.00),Disagree (0.00),Agree (2.00),wrong value (0.00),correct value (1.00),wrong value (0.00),10.0,Labor (3.00),2013.0,abc (0.00),-2.0,-2.0,-1.0,0.0,-2.0,-1.0,-2.0,-2.0,-1.0,1.0,-1.0,60.31,111.19,1.0,8.0,1.0,0.7012987012987013,1.0,0.1428571428571428
correct_false_all,Christopher Pyne says a VIP Boeing business jet flight from Perth to Canberra taken by a group of WA Liberal MPs was probably cheaper than a commercial flight,1.0,19-25 (0.00),4 year college/bachelor degree (2.00),"30,000 to less than 40,000 (3.00)",Moderate (2.00),Independent (2.00),Agree (2.00),Disagree (0.00),wrong value (0.00),wrong value (0.00),wrong value (0.00),10.0,Liberal (1.00),2013.0,abc (0.00),-2.0,-1.0,0.0,0.0,-2.0,1.0,0.0,-2.0,1.0,1.0,-1.0,51.52,45.74,1.0,5.0,1.0,1.0,0.6,0.2777777777777778
correct_false_all,Opposition workplace relations spokesman Brendan OConnor says the 2001 Building and Construction Industry Royal Commission cost 66 million equating to 100 million in todays dollars,1.0,36-50 (1.50),Postgrad. or professional degree (etc.) (4.00),"75,000 to less than 100,000 (6.00)",Very liberal (3.50),Democrat (1.00),No opinion either way (1.00),Agree (2.00),correct value (1.00),wrong value (0.50),correct value (1.00),8.5,Labor (3.00),2014.0,abc (0.00),-2.0,-1.0,-1.0,-2.0,-1.0,-0.5,-1.0,-1.5,-1.0,1.0,-1.0,29.18,96.765,1.0,5.5,1.0,0.7451298701298701,0.43333333333333335,0.47500000000000003
correct_false_all,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,1.0,36-50 (2.00),"Postgrad. or professional schooling, no degree (2.75)","50,000 to less than 75,000 (5.25)",Liberal (2.75),Democrat (1.00),Disagree (0.50),Agree (2.00),correct value (0.75),correct value (1.00),correct value (1.00),5.5,DEM (2.00),2012.0,politifact (1.00),-2.0,0.0,-1.75,-1.75,1.5,0.5,-0.5,-1.25,-0.75,1.0,-1.0,46.1,163.9675,3.5,7.25,1.5,0.5660263347763348,0.375,0.15277777777777776
correct_false_all,Were very prepared to put out a statement before the election updating on the budget process Joshs party hasnt even submitted one policy for costing yet to the Parliamentary Budget Office,1.0,26-35 (1.00),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (5.33)",Moderate (1.67),Republican (0.33),No opinion either way (1.33),Agree (2.00),wrong value (0.33),wrong value (0.00),correct value (0.67),4.0,Labor (3.00),2013.0,abc (0.00),-2.0,-1.6666666666666667,-1.6666666666666667,-1.6666666666666667,-1.3333333333333333,-1.3333333333333333,-1.0,-0.6666666666666666,-1.3333333333333333,1.0,-0.6666666666666666,40.01,207.55666666666664,3.0,3.3333333333333335,1.0,0.2757928665537361,0.25,0.127485380116959
correct_false_all,Austin mayoral candidate Mike Martinez takes corporate money,1.0,50-80 (3.00),Some college (etc.) (1.00),"50,000 to less than 75,000 (5.00)",Conservative (1.00),Republican (0.00),Agree (2.00),Disagree (0.00),correct value (1.00),wrong value (0.00),wrong value (0.00),2.0,DEM (2.00),2014.0,politifact (1.00),-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,1.0,0.0,37.98,49.25,1.0,1.0,1.0,1.0,0.5714285714285714,0.5
correct_false_all,Corrupt political bosses Money laundering Fraud Its just another day at the office for Vin Gopal,1.0,26-35 (1.00),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.00)",Liberal (3.00),Republican (0.00),Agree (2.00),Agree (2.00),correct value (1.00),correct value (1.00),wrong value (0.00),4.0,REP (0.00),2011.0,politifact (1.00),-2.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,46.78,208.23,1.0,3.0,1.0,0.84375,0.2,0.1818181818181818
correct_false_all,Scott Walkers income tax plan is a tax hike It increases taxes for nearly 80 of the people in the state,1.0,36-50 (2.00),4 year college/bachelor degree (2.50),"40,000 to less than 50,000 (4.50)",Moderate (2.50),Independent (1.50),Disagree (0.00),Agree (2.00),wrong value (0.50),wrong value (0.50),wrong value (0.00),4.0,DEM (2.00),2014.0,politifact (1.00),-2.0,1.0,-2.0,-2.0,1.0,1.0,-1.5,-2.0,-0.5,1.0,0.0,75.54,353.075,1.0,2.0,1.0,0.5425824175824175,0.5222222222222221,0.41666666666666663
correct_false_all,Virginia papers called Scott Rigells campaign Mostly False,1.0,19-25 (0.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.50)",Moderate (1.50),Democrat (1.00),No opinion either way (1.00),Disagree (0.00),wrong value (0.50),wrong value (0.00),wrong value (0.50),5.5,DEM (2.00),2012.0,politifact (1.00),-2.0,-1.0,-1.5,-1.0,0.0,-0.5,-1.0,0.0,-0.5,1.0,0.5,71.82,171.805,3.5,10.0,1.0,0.675,0.1339285714285714,0.3125
correct_false_all,Anthony Albanese says eight out of the worlds top 10 airlines are majority governmentowned,1.0,36-50 (2.00),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.00)",Liberal (3.00),Democrat (1.00),Disagree (0.50),Agree (2.00),wrong value (0.00),wrong value (0.00),wrong value (0.00),9.0,Labor (3.00),2014.0,abc (0.00),-2.0,0.0,-2.0,0.5,1.0,1.0,0.5,-1.5,-1.0,1.0,1.0,48.81,121.845,2.0,1.0,1.0,0.7575757575757576,0.5714285714285714,0.8888888888888888
correct_false_all,Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms,1.0,19-25 (0.50),Some college (etc.) (1.00),"40,000 to less than 50,000 (3.50)",Moderate (2.00),Independent (2.00),Disagree (0.00),Agree (2.00),correct value (1.00),wrong value (0.00),wrong value (0.50),3.5,REP (0.00),2012.0,politifact (1.00),-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,66.07,332.61,3.5,1.0,1.5,0.7435897435897436,0.15555555555555556,0.2727272727272727
correct_false_all,Greg Hunt says emissions went up under the carbon price from 560 to 637 million tonnes,1.0,36-50 (1.67),"Postgrad. or professional schooling, no degree (3.00)","50,000 to less than 75,000 (4.67)",Liberal (3.00),Independent (1.67),Disagree (0.00),Agree (2.00),correct value (0.67),wrong value (0.33),wrong value (0.33),5.666666666666667,Liberal (1.00),2013.0,abc (0.00),-2.0,0.6666666666666666,-1.3333333333333333,-1.3333333333333333,0.3333333333333333,0.0,-0.6666666666666666,-1.3333333333333333,-1.0,1.0,1.0,80.62,78.27333333333333,1.0,3.6666666666666665,1.3333333333333333,0.5493117993117993,0.3333333333333333,0.3636363636363636
