type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
correct_15,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),1.4,3.8,1.0,35.95,0.4,252.97899999999998,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
correct_15,Nonessential people get to file for unemployment and make two to three times more than normalï½ but essential workers still on the job get no pay raise,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),3.7,3.2,1.0,69.45,0.4,258.96,half-true_doc10,Facebook Post,1/4/2020,Facebook posts,half-true
correct_15,Drinkingwater a lot and gargling with warm watersalt or vinegar eliminatesï½ the coronavirus,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),3.7,0.7,1.0,41.36,0.5,186.348,false_doc5,Viral Image,2020-13-03,Viral Image,FALSE
correct_15,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.6,4.5,1.0,48.47,0.5,150.816,true_doc1,Facebook Post,2/4/2020,Facebook Posts,TRUE
correct_15,Saysspecial military helicopters will spray pesticide against the Corona virus in the skies all over the countryï½,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),3.0,0.4,1.0,62.67999999999999,0.6,140.077,false_doc6,Snapchat,2020-23-03,Chain Message,FALSE
correct_15,Whole of Italy goes into quarantine,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.4,4.4,1.3,73.85,0.6,145.39999999999998,true_doc7,Blog Post,10/3/2020,Bloggers,TRUE
correct_15,2019 coronavirus can live forup to 3 hours in the air up to 4 hours on copper up to 24 hours on cardboard up to 3 days on plastic and stainless steel,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),4.2,4.1,1.1,72.84,0.7,192.774,mostly-true_doc3,Facebook Post,2020-18-03,Facebook Posts,mostly-true
correct_15,Harvard scientists say the coronavirus isspreading so fast that it will infect 70 of humanity this yearï½,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),2.3,3.3,1.0,54.220000000000006,0.7,340.334,half-true_doc5,Facebook Post,10/3/2020,Viral Image,half-true
correct_15,My mask will keep someone else safe and their mask will keep me safe,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),3.1,4.3,1.1,99.57,0.7,217.27200000000002,true_doc2,Pat Toomey,2020-28-03,Video On Twitter,TRUE
correct_15,Says Spectrum will provide free internet to students during coronavirus school closures,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),4.3,4.3,1.0,42.38,0.7,192.775,true_doc5,Viral Image,2020-13-03,Facebook Post,TRUE
correct_15,Says for the coronavirusthe death rate in Texas per capita of 29 million people were one of the lowest in the country,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.3,3.9,1.5,66.07,0.7,258.42600000000004,mostly-true_doc10,Dan Patrick,2020-31-03,Briefing,mostly-true
correct_15,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),4.1,3.5,1.1,65.73,0.7,161.768,mostly-true_doc2,Facebook Post,2020-20-03,Facebook Posts,mostly-true
correct_15,COVID literally stands for Chinese Originated Viral Infectious Disease,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.4,0.8,1.0,11.58,0.8,200.125,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
correct_15,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),3.4,1.4,1.0,72.5,0.8,142.951,false_doc3,Facebook Post,2020-23-03,Chain Message,FALSE
correct_15,Some states are only getting 50 tests per day and the Utah Jazz got 58,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.1,4.2,1.3,98.55,0.8,205.69700000000003,true_doc6,Michael Dougherty,12/3/2020,Tweet,TRUE
wrong_15,Mass vaccination for COVID19 in Senegal was started yesterday 48 and the first 7 CHILDREN who received it DIED on the spotâ,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.40),No opinion either way (0.60),Agree (2.00),wrong value (0.50),wrong value (0.00),wrong value (0.40),3.8,1.8,1.2,66.07,1.6,116.98299999999999,false_doc9,Facebook Post,10/4/2020,Facebook Posts,FALSE
wrong_15,For coronavirus casesin the US 38 of those hospitalized are under 35ï½,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.3,2.9,1.1,59.3,1.7,280.73199999999997,mostly-false_doc2,Marco Rubio,2020-19-03,Tweet,mostly-false
wrong_15,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),2.1,2.6,1.0,70.13,1.8,270.03499999999997,false_doc1,Facebook Post,2020-28-03,Facebook Posts,FALSE
wrong_15,Says a5G LAW PASSED while everyone was distractedï½ with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),4.0,2.8,1.0,34.26,1.8,234.68199999999996,mostly-false_doc9,Facebook Post,2020-28-03,Facebook Posts,mostly-false
wrong_15,Says to leave objects in the sun to avoid contracting the coronavirus,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.8,2.6,1.1,76.22,1.8,264.117,false_doc2,Facebook Post,2020-27-03,Facebook Posts,FALSE
wrong_15,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusï½,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.5,1.9,1.0,57.27,1.9,185.06199999999998,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
wrong_15,Church services canï½t resume until weï½re all vaccinated says Bill Gates,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),2.6,2.7,1.7,68.77,1.9,252.748,false_doc8,Bloggers,9/4/2020,Blog Post,FALSE
wrong_15,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),4.3,3.1,1.0,52.19,1.9,161.411,half-true_doc9,Facebook Post,7/4/2020,Facebook posts,half-true
wrong_15,Says Nevada Governor Steve Sisolakhas banned the use of an antimalaria drug that might help cure coronavirusï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.9,3.9,1.2,62.67999999999999,1.9,232.708,mostly-false_doc1,Turning Point Usa,2020-25-03,Facebook Post,mostly-false
wrong_15,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),5.4,2.0,1.1,39.0,2.0,310.55,pants-on-fire_doc8,Facebook User,2020-16-03,Facebook Post,pants-on-fire
