type,unit_id,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_0_time_elapsed,q_1_farmers_question,q_1_farmers_value,q_1_time_elapsed,q_2_marks_question,q_2_marks_value,q_2_time_elapsed,q_3_athletics_question,q_3_athletics_value,q_3_time_elapsed,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_url,doc_accesses,doc_time_elapsed,distance
correct_15,unit_58,1,26-35,4 year college/bachelor degree,"40,000 to less than 50,000",Moderate,Republican,Agree,Agree,40.07,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,156.13,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,49.66,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,26.59,1.0,half-true_doc4,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,Brian Fitzpatrick,2020-23-03,Comments On The Radio,3.0,half-true,3.0,https://algorithms.tutorialhorizon.com/text-justification-problem/,1.0,1133.66,0.0
correct_15,unit_58,1,26-35,4 year college/bachelor degree,"40,000 to less than 50,000",Moderate,Republican,Agree,Agree,40.07,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,156.13,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,49.66,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,26.59,3.0,mostly-true_doc4,Bill Gates told us about the coronavirus in 2015,Facebook Post,2020-15-03,Facebook Posts,4.0,mostly-true,1.0,https://edu.gcfglobal.org/en/internetbasics/using-search-engines/1/,1.0,33.07,3.0
correct_15,unit_67,1,26-35,4 year college/bachelor degree,"30,000 to less than 40,000",Conservative,Democrat,Agree,Agree,41.95,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,5.35,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.67,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.52,1.0,mostly-true_doc7,Three Chinese nationals were apprehended trying to cross our Southern border illegally Each had flulike symptoms Border Patrol quickly quarantined them and assessed any threat of coronavirus,Charlie Kirk,2020-24-02,Tweet,4.0,mostly-true,3.0,https://www.dictionary.com/browse/happy,1.0,16.47,1.0
correct_15,unit_28,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Liberal,Republican,Agree,Agree,122.14,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,105.24,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,42.09,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,112.81,0.0,mostly-true_doc9,Says a California surfer wasalone in the oceanâ when he was arrested for violating the stateâs stayathome order,Viral Image,8/4/2020,Viral Image,4.0,mostly-true,4.0,http://www.ebizmba.com/articles/search-engines,1.0,293.03,0.0
correct_15,unit_28,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Liberal,Republican,Agree,Agree,122.14,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,105.24,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,42.09,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,112.81,4.0,half-true_doc3,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,Facebook Post,2020-15-03,Facebook Posts,3.0,half-true,3.0,https://www.collinsdictionary.com/dictionary/english/input,1.0,31.63,0.0
correct_15,unit_81,1,26-35,Postgrad. or professional degree (etc.),"30,000 to less than 40,000",Moderate,Democrat,Agree,Agree,54.76,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,42.67,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,21.3,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,34.83,0.0,half-true_doc1,Ron Johnson said Americans should go back to work becausedeath is an unavoidable part of lifeâ,Facebook Post,2020-31-03,Facebook Posts,3.0,half-true,4.0,https://www.wisn.com/article/coronavirus-sen-ron-johnson-death-unavoidable/31983764,1.0,243.76,1.0
correct_15,unit_81,1,26-35,Postgrad. or professional degree (etc.),"30,000 to less than 40,000",Moderate,Democrat,Agree,Agree,54.76,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,42.67,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,21.3,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,34.83,2.0,mostly-true_doc3,2019 coronavirus can live forup to 3 hours in the air up to 4 hours on copper up to 24 hours on cardboard up to 3 days on plastic and stainless steel,Facebook Post,2020-18-03,Facebook Posts,4.0,mostly-true,3.0,https://www.foxnews.com/health/coronavirus-live-plastic-stainless-steel-for-up-to-3-days,1.0,162.12,1.0
correct_15,unit_60,3,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Democrat,Agree,Agree,37.93,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,37.19,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.5,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.44,0.0,mostly-true_doc7,Three Chinese nationals were apprehended trying to cross our Southern border illegally Each had flulike symptoms Border Patrol quickly quarantined them and assessed any threat of coronavirus,Charlie Kirk,2020-24-02,Tweet,4.0,mostly-true,2.0,https://medium.com/@mboedy/debunking-charlie-kirk-on-china-86fac5c14978,1.0,,2.0
correct_15,unit_4,1,26-35,4 year college/bachelor degree,"20,000 to less than 30,000",Liberal,Democrat,No opinion either way,Agree,38.46,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,132.94,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,17.52,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,32.35,0.0,half-true_doc2,North Carolinahospital beds are typically 85 full across the stateâ,Jeff Jackson,2020-19-03,Tweet,3.0,half-true,3.0,https://www.cnn.com/2019/06/02/health/north-carolina-rape-consent-bill-563-trnd/index.html,1.0,376.22,0.0
correct_15,unit_4,1,26-35,4 year college/bachelor degree,"20,000 to less than 30,000",Liberal,Democrat,No opinion either way,Agree,38.46,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,132.94,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,17.52,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,32.35,7.0,mostly-true_doc2,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,Facebook Post,2020-20-03,Facebook Posts,4.0,mostly-true,4.0,https://winnipeg.ctvnews.ca/some-manitoba-truck-drivers-refused-service-in-restaurants-face-stigma-amid-pandemic-1.5002323,1.0,84.23,0.0
