batch,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
1,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),1.4,3.8,1.0,35.95,0.4,252.97899999999998,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
1,Nonessential people get to file for unemployment and make two to three times more than normalï½ but essential workers still on the job get no pay raise,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),3.7,3.2,1.0,69.45,0.4,258.96,half-true_doc10,Facebook Post,1/4/2020,Facebook posts,half-true
1,Says Spectrum will provide free internet to students during coronavirus school closures,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),4.3,4.3,1.0,42.38,0.7,192.775,true_doc5,Viral Image,2020-13-03,Facebook Post,TRUE
1,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),4.1,3.5,1.1,65.73,0.7,161.768,mostly-true_doc2,Facebook Post,2020-20-03,Facebook Posts,mostly-true
1,COVID literally stands for Chinese Originated Viral Infectious Disease,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.4,0.8,1.0,11.58,0.8,200.125,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
1,Ron Johnson said Americans should go back to work becausedeath is an unavoidable part of lifeï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.9,3.2,1.3,72.16,1.0,185.631,half-true_doc1,Facebook Post,2020-31-03,Facebook Posts,half-true
1,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyï½ for the coronavirus,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),3.1,3.9,1.1,1.43,1.1,261.998,true_doc8,Dan Crenshaw,2020-13-03,Tweet,TRUE
1,the US is developing anantivirusï½ that includes a chip to track your movement,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.5,1.4,1.2,66.74,1.4,176.38,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
1,Post saysthe blood test for coronavirus costs 3200ï½,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),4.1,1.5,1.0,88.74,1.5,162.185,mostly-false_doc6,Facebook Post,2020-27-02,Facebook Posts,mostly-false
1,For coronavirus casesin the US 38 of those hospitalized are under 35ï½,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.3,2.9,1.1,59.3,1.7,280.73199999999997,mostly-false_doc2,Marco Rubio,2020-19-03,Tweet,mostly-false
1,Says a5G LAW PASSED while everyone was distractedï½ with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),4.0,2.8,1.0,34.26,1.8,234.68199999999996,mostly-false_doc9,Facebook Post,2020-28-03,Facebook Posts,mostly-false
1,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusï½,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.5,1.9,1.0,57.27,1.9,185.06199999999998,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
1,Says Nevada Governor Steve Sisolakhas banned the use of an antimalaria drug that might help cure coronavirusï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.9,3.9,1.2,62.67999999999999,1.9,232.708,mostly-false_doc1,Turning Point Usa,2020-25-03,Facebook Post,mostly-false
