file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
medical_1,correct_15,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),1.4,3.8,1.0,35.95,0.4,252.979,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
medical_1,correct_15,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.6,4.5,1.0,48.47,0.5,150.816,true_doc1,Facebook Post,2/4/2020,Facebook Posts,TRUE
medical_1,correct_15,2019 coronavirus can live forup to 3 hours in the air up to 4 hours on copper up to 24 hours on cardboard up to 3 days on plastic and stainless steel,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),4.2,4.1,1.1,72.84,0.7,192.774,mostly-true_doc3,Facebook Post,2020-18-03,Facebook Posts,mostly-true
medical_1,correct_15,Says for the coronavirusthe death rate in Texas per capita of 29 million people were one of the lowest in the country,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.3,3.9,1.5,66.07,0.7,258.42600000000004,mostly-true_doc10,Dan Patrick,2020-31-03,Briefing,mostly-true
medical_1,correct_15,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),4.1,3.5,1.1,65.73,0.7,161.768,mostly-true_doc2,Facebook Post,2020-20-03,Facebook Posts,mostly-true
medical_2,correct_15,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),4.0,2.6,1.1,48.13,0.4,213.712,half-true_doc3,Facebook Post,2020-15-03,Facebook Posts,half-true
medical_2,correct_15,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),1.4,4.2,1.0,35.95,0.6,298.03,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
medical_2,correct_15,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.6,4.2,1.1,48.47,0.8,147.123,true_doc1,Facebook Post,2/4/2020,Facebook Posts,TRUE
medical_3,correct_15,2019 coronavirus can live for up to 3 hours in the air up to 4 hours on copper up to 24 hours on cardboard up to 3 days on plastic and stainless steel,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),4.2,3.8,1.3,72.126,0.6,124.646,mostly-true_doc3,Facebook Post,2020-18-03,Facebook Posts,mostly-true
medical_3,correct_15,Says for the coronavirus the death rate in Texas per capita of 29 million people were one of the lowest in the country,1.1,36-50 (1.60),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (2.00),wrong value (0.20),wrong value (0.30),wrong value (0.30),3.3,4.0,1.2,72.022,0.6,138.16000000000005,mostly-true_doc10,Dan Patrick,2020-31-03,Briefing,mostly-true
