type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,doc_time_elapsed
correct_false_5,COVID literally stands for Chinese Originated Viral Infectious Disease,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.4,0.8,1.0,11.58,200.125
correct_false_5,Saysthere is noâ COVID19 virus,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.40),No opinion either way (0.60),Agree (2.00),wrong value (0.50),wrong value (0.00),wrong value (0.40),3.4,1.1,1.0,117.16,184.49
correct_false_5,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),4.3,1.3,1.0,62.67999999999999,154.443
correct_false_5,the US is developing anantivirusï½ that includes a chip to track your movement,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.5,1.4,1.2,66.74,176.38
correct_false_5,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsï½,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),4.0,1.5,1.0,19.03,166.803
correct_true_5,Some states are only getting 50 tests per day and the Utah Jazz got 58,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.1,4.2,1.3,98.55,205.69700000000003
correct_true_5,My mask will keep someone else safe and their mask will keep me safe,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),3.1,4.3,1.1,99.57,217.27200000000002
correct_true_5,Says Spectrum will provide free internet to students during coronavirus school closures,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),4.3,4.3,1.0,42.38,192.775
correct_true_5,Whole of Italy goes into quarantine,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.4,4.4,1.3,73.85,145.39999999999998
correct_true_5,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.6,4.5,1.0,48.47,150.816
wrong_false_5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusï½,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.5,1.9,1.0,57.27,185.06199999999998
wrong_false_5,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),5.4,2.0,1.1,39.0,310.55
wrong_false_5,If your child gets this virus their going to hospital alone in a van with people they donï½t knowï½to be with people they donï½t knowï½ you will be at home without them in their time of need,1.0,26-35 (1.30),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (5.10)",Moderate (1.90),Democrat (0.90),No opinion either way (1.00),Agree (2.00),wrong value (0.50),wrong value (0.20),correct value (0.80),1.8,2.2,1.0,67.76,251.40299999999996
wrong_false_5,This particular pandemic is one where I donï½t think nationwide thereï½s been a single fatality under 25,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.0,2.2,1.1,45.76,283.65999999999997
wrong_false_5,We inherited a broken testï½ for COVID19,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),3.3,3.2,1.2,64.37,166.318
wrong_true_5,Photo shows a crowded New York City subway train during stayathome order,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),3.1,2.7,1.1,59.3,124.205
wrong_true_5,Says of the coronavirus threatthere was not a single suggestion by anyone a doctor a scientist a political figure that we needed to cancel Mardi Grasï½,1.0,26-35 (1.30),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (5.10)",Moderate (1.90),Democrat (0.90),No opinion either way (1.00),Agree (2.00),wrong value (0.50),wrong value (0.20),correct value (0.80),3.1,3.6,1.0,45.09,221.298
wrong_true_5,No city in the state can quarantine itself without state approval,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.40),No opinion either way (0.60),Agree (2.00),wrong value (0.50),wrong value (0.00),wrong value (0.40),4.7,3.7,1.2,68.77,115.862
wrong_true_5,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyï½ for the coronavirus,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),3.1,3.9,1.1,1.43,261.998
wrong_true_5,Says most NC legislators are in the high risk age group for coronavirus,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.3,4.1,1.1,75.2,235.59
