batch,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,fre,doc_time_elapsed,doc_name,doc_claimant
1,Says Barack Obama sold Chrysler to Italians who are going to build Jeeps in China at the cost of American jobs,1.0,36-50 (1.60),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),No opinion either way (0.70),No opinion either way (1.20),wrong value (0.50),correct value (0.60),correct value (0.60),4.0,2012.0,-0.8,-0.7,-0.8,-1.1,1.1,1.3,-0.6,-0.2,0.4,1.0,75.54,141.754,REP_LIE_doc5,Mitt Romney
1,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,1.0,36-50 (1.50),"Postgrad. or professional schooling, no degree (2.70)","50,000 to less than 75,000 (4.70)",Liberal (2.80),Democrat (1.00),No opinion either way (0.70),Agree (1.80),correct value (0.60),correct value (0.70),correct value (0.90),4.0,2012.0,-0.8,0.0,-0.8,-1.0,1.4,0.4,0.1,-0.8,-0.1,1.0,46.1,146.641,DEM_LIE_doc10,Graeme Zielinski
1,Virginia papers called Scott Rigells campaign Mostly False,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.30)",Moderate (2.40),Democrat (1.10),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.10),wrong value (0.30),5.4,2012.0,-0.4,0.1,0.0,0.0,0.1,0.3,-0.1,0.3,0.3,1.0,71.82,105.36599999999999,DEM_LIE_doc5,Paul Hirschbiel
1,Scott Walkers income tax plan is a tax hike It increases taxes for nearly 80 of the people in the state,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.90),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),4.3,2014.0,-0.1,0.4,-0.1,-0.6,1.0,1.0,0.3,-0.3,0.5,1.0,75.54,122.46400000000001,DEM_LIE_doc2,Mary Burke
1,The National Science Foundation spent 12 million paying seniors to play World of Warcraft to study the impact it had on their brain,1.0,26-35 (0.90),4 year college/bachelor degree (1.60),"30,000 to less than 40,000 (3.40)",Moderate (2.50),Democrat (1.40),No opinion either way (0.60),Agree (1.90),wrong value (0.50),wrong value (0.10),wrong value (0.40),4.5,2013.0,-0.1,0.3,-0.2,0.5,1.1,0.7,0.6,-0.4,0.6,1.2,65.05,110.951,REP_LIE_doc7,Eric Cantor
1,Ninetyfour percent of small businesses will face higher taxes under the Democrats plan,1.0,26-35 (0.90),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.90)",Moderate (2.10),Democrat (1.00),No opinion either way (1.20),Agree (1.70),wrong value (0.50),wrong value (0.30),wrong value (0.30),5.1,2010.0,0.0,0.1,-0.2,-0.4,0.4,0.7,0.1,0.2,0.4,1.0,58.279999999999994,86.281,REP_LIE_doc9,Randy Neugebauer
1,Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Moderate (1.70),Democrat (1.10),No opinion either way (0.90),Agree (1.90),wrong value (0.20),wrong value (0.20),wrong value (0.20),5.5,2011.0,0.2,-0.3,0.2,0.2,1.1,0.3,0.0,0.4,0.3,1.1,25.12,146.81900000000002,REP_TRUE_doc8,Josh Mandel
1,Of every three dollars in food stamps for the needy seven dollars in salaries and pensions go to the bureaucrats who are supposed to be taking care of the poor,1.0,26-35 (1.40),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (0.90),No opinion either way (1.10),Agree (1.50),correct value (0.70),wrong value (0.20),wrong value (0.40),5.8,2013.0,0.2,0.4,-0.2,0.2,0.9,0.5,0.6,0.1,0.7,1.2,66.41,168.352,REP_LIE_doc3,Michele Bachmann
1,98 percent of small businesses make less than 250000 and would not see a tax increase under Barack Obamas plan,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.30)",Moderate (2.40),Democrat (1.10),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.10),wrong value (0.30),5.9,2008.0,0.3,0.2,0.0,0.4,0.7,0.6,0.1,0.5,0.4,1.1,76.56,100.75899999999999,DEM_TRUE_doc5,Barack Obama
1,Says Mitt Romney backed a bill that outlaws all abortions even in cases of rape and incest,1.0,26-35 (0.90),"Postgrad. or professional schooling, no degree (2.70)","50,000 to less than 75,000 (5.20)",Moderate (1.80),Democrat (0.80),No opinion either way (0.70),Agree (1.50),correct value (0.60),wrong value (0.30),correct value (0.60),4.4,2012.0,0.4,0.0,0.2,0.3,1.1,1.1,0.2,0.6,0.3,1.0,79.6,158.64600000000002,DEM_LIE_doc6,Barack Obama
