file,type,value,rate
correct_false_abc,current_try,1,1.0
correct_false_all,current_try,1,1.0
correct_false_politifact,current_try,1,1.0
correct_true_abc,current_try,1,0.9791666666666666
correct_true_abc,current_try,2,0.020833333333333332
correct_true_all,current_try,1,0.9807692307692307
correct_true_all,current_try,2,0.009615384615384616
correct_true_all,current_try,3,0.009615384615384616
correct_true_politifact,current_try,1,0.9821428571428571
correct_true_politifact,current_try,3,0.017857142857142856
wrong_false_abc,current_try,1,0.9722222222222222
wrong_false_abc,current_try,2,0.027777777777777776
wrong_false_all,current_try,1,0.9696969696969697
wrong_false_all,current_try,2,0.015151515151515152
wrong_false_all,current_try,3,0.015151515151515152
wrong_false_politifact,current_try,1,0.9666666666666667
wrong_false_politifact,current_try,3,0.03333333333333333
wrong_true_abc,current_try,1,1.0
wrong_true_all,current_try,1,1.0
wrong_true_politifact,current_try,1,1.0
correct_false_abc,q_0_age_answer,19-25,0.25925925925925924
correct_false_abc,q_0_age_answer,26-35,0.4074074074074074
correct_false_abc,q_0_age_answer,36-50,0.2962962962962963
correct_false_abc,q_0_age_answer,50-80,0.037037037037037035
correct_false_all,q_0_age_answer,19-25,0.21818181818181817
correct_false_all,q_0_age_answer,26-35,0.38181818181818183
correct_false_all,q_0_age_answer,36-50,0.3090909090909091
correct_false_all,q_0_age_answer,50-80,0.09090909090909091
correct_false_politifact,q_0_age_answer,19-25,0.17857142857142858
correct_false_politifact,q_0_age_answer,26-35,0.35714285714285715
correct_false_politifact,q_0_age_answer,36-50,0.32142857142857145
correct_false_politifact,q_0_age_answer,50-80,0.14285714285714285
correct_true_abc,q_0_age_answer,19-25,0.25
correct_true_abc,q_0_age_answer,26-35,0.4791666666666667
correct_true_abc,q_0_age_answer,36-50,0.25
correct_true_abc,q_0_age_answer,50-80,0.020833333333333332
correct_true_all,q_0_age_answer,19-25,0.20192307692307693
correct_true_all,q_0_age_answer,26-35,0.4807692307692308
correct_true_all,q_0_age_answer,36-50,0.25
correct_true_all,q_0_age_answer,50-80,0.0673076923076923
correct_true_politifact,q_0_age_answer,19-25,0.16071428571428573
correct_true_politifact,q_0_age_answer,26-35,0.48214285714285715
correct_true_politifact,q_0_age_answer,36-50,0.25
correct_true_politifact,q_0_age_answer,50-80,0.10714285714285714
wrong_false_abc,q_0_age_answer,19-25,0.1388888888888889
wrong_false_abc,q_0_age_answer,26-35,0.6388888888888888
wrong_false_abc,q_0_age_answer,36-50,0.1388888888888889
wrong_false_abc,q_0_age_answer,50-80,0.08333333333333333
wrong_false_all,q_0_age_answer,19-25,0.21212121212121213
wrong_false_all,q_0_age_answer,26-35,0.5606060606060606
wrong_false_all,q_0_age_answer,36-50,0.16666666666666666
wrong_false_all,q_0_age_answer,50-80,0.06060606060606061
wrong_false_politifact,q_0_age_answer,19-25,0.3
wrong_false_politifact,q_0_age_answer,26-35,0.4666666666666667
wrong_false_politifact,q_0_age_answer,36-50,0.2
wrong_false_politifact,q_0_age_answer,50-80,0.03333333333333333
wrong_true_abc,q_0_age_answer,19-25,0.5
wrong_true_abc,q_0_age_answer,26-35,0.3
wrong_true_abc,q_0_age_answer,36-50,0.1
wrong_true_abc,q_0_age_answer,50-80,0.1
wrong_true_all,q_0_age_answer,19-25,0.3888888888888889
wrong_true_all,q_0_age_answer,26-35,0.4444444444444444
wrong_true_all,q_0_age_answer,36-50,0.05555555555555555
wrong_true_all,q_0_age_answer,50-80,0.1111111111111111
wrong_true_politifact,q_0_age_answer,19-25,0.25
wrong_true_politifact,q_0_age_answer,26-35,0.625
wrong_true_politifact,q_0_age_answer,50-80,0.125
correct_false_abc,q_0_school_answer,4 year college/bachelor degree,0.4444444444444444
correct_false_abc,q_0_school_answer,High school graduate or GED (etc.),0.14814814814814814
correct_false_abc,q_0_school_answer,Postgrad. or professional degree (etc.),0.2222222222222222
correct_false_abc,q_0_school_answer,Some college (etc.),0.18518518518518517
correct_false_all,q_0_school_answer,4 year college/bachelor degree,0.41818181818181815
correct_false_all,q_0_school_answer,High school graduate or GED (etc.),0.12727272727272726
correct_false_all,q_0_school_answer,Postgrad. or professional degree (etc.),0.21818181818181817
correct_false_all,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.01818181818181818
correct_false_all,q_0_school_answer,Some college (etc.),0.21818181818181817
correct_false_politifact,q_0_school_answer,4 year college/bachelor degree,0.39285714285714285
correct_false_politifact,q_0_school_answer,High school graduate or GED (etc.),0.10714285714285714
correct_false_politifact,q_0_school_answer,Postgrad. or professional degree (etc.),0.21428571428571427
correct_false_politifact,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.03571428571428571
correct_false_politifact,q_0_school_answer,Some college (etc.),0.25
correct_true_abc,q_0_school_answer,4 year college/bachelor degree,0.4791666666666667
correct_true_abc,q_0_school_answer,High school graduate or GED (etc.),0.08333333333333333
correct_true_abc,q_0_school_answer,Postgrad. or professional degree (etc.),0.25
correct_true_abc,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.0625
correct_true_abc,q_0_school_answer,Some college (etc.),0.125
correct_true_all,q_0_school_answer,4 year college/bachelor degree,0.5192307692307693
correct_true_all,q_0_school_answer,High school graduate or GED (etc.),0.08653846153846154
correct_true_all,q_0_school_answer,Postgrad. or professional degree (etc.),0.17307692307692307
correct_true_all,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.08653846153846154
correct_true_all,q_0_school_answer,Some college (etc.),0.1346153846153846
correct_true_politifact,q_0_school_answer,4 year college/bachelor degree,0.5535714285714286
correct_true_politifact,q_0_school_answer,High school graduate or GED (etc.),0.08928571428571429
correct_true_politifact,q_0_school_answer,Postgrad. or professional degree (etc.),0.10714285714285714
correct_true_politifact,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.10714285714285714
correct_true_politifact,q_0_school_answer,Some college (etc.),0.14285714285714285
wrong_false_abc,q_0_school_answer,4 year college/bachelor degree,0.5833333333333334
wrong_false_abc,q_0_school_answer,High school graduate or GED (etc.),0.027777777777777776
wrong_false_abc,q_0_school_answer,Postgrad. or professional degree (etc.),0.1111111111111111
wrong_false_abc,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.05555555555555555
wrong_false_abc,q_0_school_answer,Some college (etc.),0.2222222222222222
wrong_false_all,q_0_school_answer,4 year college/bachelor degree,0.5606060606060606
wrong_false_all,q_0_school_answer,High school graduate or GED (etc.),0.030303030303030304
wrong_false_all,q_0_school_answer,Postgrad. or professional degree (etc.),0.12121212121212122
wrong_false_all,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.07575757575757576
wrong_false_all,q_0_school_answer,Some college (etc.),0.21212121212121213
wrong_false_politifact,q_0_school_answer,4 year college/bachelor degree,0.5333333333333333
wrong_false_politifact,q_0_school_answer,High school graduate or GED (etc.),0.03333333333333333
wrong_false_politifact,q_0_school_answer,Postgrad. or professional degree (etc.),0.13333333333333333
wrong_false_politifact,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.1
wrong_false_politifact,q_0_school_answer,Some college (etc.),0.2
wrong_true_abc,q_0_school_answer,4 year college/bachelor degree,0.8
wrong_true_abc,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.1
wrong_true_abc,q_0_school_answer,Some college (etc.),0.1
wrong_true_all,q_0_school_answer,4 year college/bachelor degree,0.7222222222222222
wrong_true_all,q_0_school_answer,High school graduate or GED (etc.),0.05555555555555555
wrong_true_all,q_0_school_answer,"Postgrad. or professional schooling, no degree",0.05555555555555555
wrong_true_all,q_0_school_answer,Some college (etc.),0.16666666666666666
wrong_true_politifact,q_0_school_answer,4 year college/bachelor degree,0.625
wrong_true_politifact,q_0_school_answer,High school graduate or GED (etc.),0.125
wrong_true_politifact,q_0_school_answer,Some college (etc.),0.25
correct_false_abc,q_0_taxes_answer,"10,000 to less than 20,000",0.14814814814814814
correct_false_abc,q_0_taxes_answer,"100,000 to less than 150,000",0.07407407407407407
correct_false_abc,q_0_taxes_answer,"150,000 or more",0.037037037037037035
correct_false_abc,q_0_taxes_answer,"20,000 to less than 30,000",0.07407407407407407
correct_false_abc,q_0_taxes_answer,"30,000 to less than 40,000",0.14814814814814814
correct_false_abc,q_0_taxes_answer,"40,000 to less than 50,000",0.07407407407407407
correct_false_abc,q_0_taxes_answer,"50,000 to less than 75,000",0.2222222222222222
correct_false_abc,q_0_taxes_answer,"75,000 to less than 100,000",0.07407407407407407
correct_false_abc,q_0_taxes_answer,"Less than 10,000",0.14814814814814814
correct_false_all,q_0_taxes_answer,"10,000 to less than 20,000",0.07272727272727272
