type,unit_id,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_0_time_elapsed,q_1_farmers_question,q_1_farmers_value,q_1_time_elapsed,q_2_marks_question,q_2_marks_value,q_2_time_elapsed,q_3_athletics_question,q_3_athletics_value,q_3_time_elapsed,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_index,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_url,doc_accesses,doc_time_elapsed
correct_false_5,unit_99,1,36-50,Some college (etc.),"Less than 10,000",Very liberal,Democrat,Disagree,Agree,53.88,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,34.35,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,15.93,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,12.93,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,6.0,0.0,pants-on-fire,1.0,https://www.rappler.com/newsbreak/fact-check/253181-vatican-confirms-pope-francis-tested-positive-novel-coronavirus,1.0,46.41
correct_false_5,unit_49,1,26-35,Postgrad. or professional degree (etc.),"40,000 to less than 50,000",Liberal,Independent,Agree,Agree,18.06,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,6.72,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,6.71,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.61,pants-on-fire_doc10,Italy arrested a doctor for intentionally killing over 3000 coronavirus patients,Bloggers,2020-31-03,Blog Post,7.0,0.0,pants-on-fire,4.0,https://www.amazon.com/Yes/e/B000APWVSY,1.0,105.73
correct_false_5,unit_91,1,36-50,4 year college/bachelor degree,"75,000 to less than 100,000",Conservative,Republican,Agree,Agree,33.43,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,10.03,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,23.74,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,37.34,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,7.0,0.0,pants-on-fire,1.0,https://www.rappler.com/newsbreak/fact-check/253181-vatican-confirms-pope-francis-tested-positive-novel-coronavirus,1.0,121.09
correct_false_5,unit_1,1,36-50,Postgrad. or professional degree (etc.),"40,000 to less than 50,000",Moderate,Democrat,Agree,Agree,49.49,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,30.64,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.0,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,8.51,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,2.0,0.0,pants-on-fire,1.0,https://www.facebook.com/facebook/posts/,1.0,191.81
correct_false_5,unit_66,1,19-25,4 year college/bachelor degree,"40,000 to less than 50,000",Moderate,Democrat,Disagree,Agree,146.33,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,67.61,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,135.07,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,236.22,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,3.0,0.0,pants-on-fire,5.0,https://s3.amazonaws.com/files.rsb.io/re-inventor/breakouts.html,1.0,185.25
correct_false_5,unit_3,2,26-35,"Postgrad. or professional schooling, no degree","50,000 to less than 75,000",Conservative,Republican,Agree,Agree,28.11,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,23.08,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,9.68,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,13.72,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,6.0,0.0,pants-on-fire,1.0,https://www.snopes.com/fact-check/does-covid-stand-for/,3.0,196.76
correct_false_5,unit_60,1,26-35,"Postgrad. or professional schooling, no degree","30,000 to less than 40,000",Conservative,Republican,Agree,Agree,29.06,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,23.94,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,17.76,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,63.86,pants-on-fire_doc3,Saysthere is noï½ COVID19 virus,Facebook User,2020-19-03,Facebook Post,1.0,0.0,pants-on-fire,0.0,https://www.cbc.ca/news/health/coronavirus-airborne-who-1.5641054,1.0,164.25
correct_false_5,unit_44,3,26-35,4 year college/bachelor degree,"100,000 to less than 150,000",Liberal,Independent,Agree,Agree,125.84,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,18.86,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.35,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.56,pants-on-fire_doc10,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsï½,Bloggers,2020-31-03,Blog Post,4.0,0.0,pants-on-fire,4.0,https://thehill.com/homenews/sunday-talk-shows/505904-fda-commissioner-declines-to-confirm-trump-claim-that-99-percent,3.0,59.18
correct_false_5,unit_62,1,50-80,Postgrad. or professional degree (etc.),"75,000 to less than 100,000",Moderate,Independent,Agree,Agree,39.54,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,38.83,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,36.93,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,1026.93,pants-on-fire_doc3,Says there is no COVID19 virus,Facebook User,2020-19-03,Facebook Post,3.0,0.0,pants-on-fire,4.0,https://time.com/5822372/facebook-coronavirus-misinformation/,1.0,121.12
correct_false_5,unit_42,1,26-35,Some college (etc.),"100,000 to less than 150,000",Very conservative,Republican,Agree,Disagree,20.14,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,20.3,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,40.44,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,33.07,pants-on-fire_doc10,Italy arrested a doctor for intentionally killing over 3000 coronavirus patients,Bloggers,2020-31-03,Blog Post,7.0,0.0,pants-on-fire,0.0,https://www.reuters.com/article/uk-factcheck-coronavirus-italy-doctor-idUSKBN21L2Y9,2.0,25.06
