type,unit_id,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_0_time_elapsed,q_1_farmers_question,q_1_farmers_value,q_1_time_elapsed,q_2_marks_question,q_2_marks_value,q_2_time_elapsed,q_3_athletics_question,q_3_athletics_value,q_3_time_elapsed,doc_index,doc_name,doc_statement,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_value,doc_ground_truth_label,doc_truthfulness_value,doc_truthfulness_url,doc_accesses,doc_time_elapsed
correct_false_5,unit_67,1,26-35,4 year college/bachelor degree,"30,000 to less than 40,000",Conservative,Democrat,Agree,Agree,41.95,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,5.35,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.67,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.52,3.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,2.0,https://www.thefreedictionary.com/tears,1.0,52.4
correct_false_5,unit_81,1,26-35,Postgrad. or professional degree (etc.),"30,000 to less than 40,000",Moderate,Democrat,Agree,Agree,54.76,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,42.67,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,21.3,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,34.83,7.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,4.0,http://teyit.link/bZrzBrK,1.0,69.41
correct_false_5,unit_60,3,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Moderate,Democrat,Agree,Agree,37.93,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,37.19,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,4.5,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,4.44,1.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,3.0,https://talksport.com/football/738373/chelsea-transfer-news-live-kai-havertz-jan-oblak-willian-new-deal/,1.0,69.35
correct_false_5,unit_4,1,26-35,4 year college/bachelor degree,"20,000 to less than 30,000",Liberal,Democrat,No opinion either way,Agree,38.46,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,132.94,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,17.52,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,32.35,3.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,1.0,https://leadstories.com/hoax-alert/2020/03/Fact-Check-COVID-Does-NOT-Stand-For-Chinese-Originated-Viral-Infectious-Disease'.html,1.0,97.6
correct_false_5,unit_80,4,19-25,4 year college/bachelor degree,"75,000 to less than 100,000",Moderate,Democrat,Agree,Agree,23.11,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,5.57,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.02,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.7,5.0,pants-on-fire_doc9,the US is developing anantivirusâ that includes a chip to track your movement,Facebook User,2020-16-03,Facebook Post,0.0,pants-on-fire,4.0,https://www.cnet.com/news/no-facebook-isnt-limiting-you-to-25-friends-status-updates/,4.0,94.36
correct_false_5,unit_2,1,36-50,"Postgrad. or professional schooling, no degree","40,000 to less than 50,000",Moderate,Democrat,Agree,Agree,49.53,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,7.18,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,3.88,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,3.52,0.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,4.0,http://www.google.com/,1.0,89.88
correct_false_5,unit_6,1,26-35,4 year college/bachelor degree,"50,000 to less than 75,000",Very conservative,Democrat,Agree,Disagree,17.07,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,16.99,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,22.76,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,90.11,0.0,pants-on-fire_doc4,COVID literally stands for Chinese Originated Viral Infectious Disease,Facebook Post,2020-25-03,Viral Image,0.0,pants-on-fire,3.0,https://www.merriam-webster.com/dictionary/made,1.0,100.68
correct_false_5,unit_34,3,50-80,"Postgrad. or professional schooling, no degree","40,000 to less than 50,000",Very liberal,Republican,Agree,Agree,44.61,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",wrong value,7.54,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,5.34,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,7.36,3.0,pants-on-fire_doc5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,Bloggers,2020-26-02,Internet Posts,0.0,pants-on-fire,5.0,https://www.lifehack.org/articles/communication/top-10-most-inspirational-bloggers-the-world.html,1.0,182.06
correct_false_5,unit_65,2,50-80,4 year college/bachelor degree,"30,000 to less than 40,000",Liberal,Republican,Agree,Agree,71.12,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,70.79,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,wrong value,39.02,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",wrong value,54.02,0.0,pants-on-fire_doc3,Saysthere is noâ COVID19 virus,Facebook User,2020-19-03,Facebook Post,0.0,pants-on-fire,4.0,https://apnews.com/eb4ca23d18aab85c40994fb373debc21,1.0,
correct_false_5,unit_95,1,19-25,4 year college/bachelor degree,"50,000 to less than 75,000",Liberal,Democrat,Disagree,Agree,43.69,"If three farmers can plant three trees in three hours, how long would it take nine farmers to plant nine trees?",correct value,26.63,Sean received both the 5th highest and the 5th lowest mark in the class. How many students are there in the class?,correct value,31.76,"In an athletics team, females are four times more likely to win a medal than males. This year the team has won 20 medals so far. How many of these have been won by males?",correct value,26.29,5.0,pants-on-fire_doc6,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,Youtube Video,2020-29-02,Youtube Videos,0.0,pants-on-fire,0.0,https://www.cnn.com/2020/04/08/europe/pope-francis-coronavirus-nature-response-intl/index.html,1.0,177.39
